car name,price,engine_capacity,cylinder,horse_power,top_speed,seats,brand,country
Mercedes-Benz EQV 2021 6 seater,TBD,0.0,"N/A, Electric",Single,Automatic,6 Seater,mercedes-benz,ksa
Kia Soul 2021 2.0L MPI A/T,"SAR 82,698",2.0,4,152,N A,10.5,kia,ksa
Kia Soul 2021 1.6L MPI A/T,"SAR 79,233",1.6,4,124,N A,10.5,kia,ksa
Lotus Evija 2021 2000 kW (Type 130),TBD,0.0,"N/A, Electric",1973,320,2 Seater,lotus,ksa
Volvo XC60 2021 2.0T T5 FWD Momentum,"SAR 194,750",2.0,4,254,220,5 Seater,volvo,ksa
Porsche Taycan 2021 Turbo S,Jet Black Metallic,0.0,"N/A, Electric",Double,Automatic,260,porsche,ksa
Mercedes-Benz GLB 2021 AMG 35 4MATIC,TBD,0.0,4,306,250,N A,mercedes-benz,ksa
Mini SE EV 2021 135KW ALL4 (181 HP),TBD,0.0,"N/A, Electric",Single,Automatic,150,mini,ksa
Lamborghini Aventador SVJ 63 Roadster 2021 6.5L V12 (770 HP),TBD,6.5,12,770,350,2 Seater,lamborghini,ksa
Volvo S90 2021 T6 AWD Inscription,Birch Light Metallic,2.0,N/A,320,250,5 Seater,volvo,ksa
Volvo S60 2021 2.0T T5 Inscription (AWD),"SAR 190,000",1.7,4,250,240,5 Seater,volvo,ksa
Volvo S90 2021 T6 AWD R Design,TBD,2.0,N/A,320,250,5 Seater,volvo,ksa
Volvo S90 2021 T5 FWD Momentum,TBD,2.0,4,254,230,5 Seater,volvo,ksa
Volvo XC60 2021 2.0T T5 AWD R Design,"SAR 225,380",2.0,4,254,220,5 Seater,volvo,ksa
Porsche Taycan 2021 Turbo,Carrara White Metallic,0.0,"N/A, Electric",Double,Automatic,260,porsche,ksa
Nissan Kicks 2021 1.6 S,"SAR 60,000",1.6,4,118,180,5 Seater,nissan,ksa
Ford Escort 2021 1.5L Ambient,"SAR 80,300",1.5,3,120,184,5 Seater,ford,ksa
McLaren GT 2021 4.0T V8 Coupe,Following,0.0,8,620,326,N A,mclaren,ksa
Volvo XC60 2021 2.0T T6 AWD Inscription,"SAR 241,080",2.0,4,320,230,5 Seater,volvo,ksa
Kia Niro 2021 1.6L HEV,"SAR 121,679",1.6,4,139,172,N A,kia,ksa
Kia Pegas 2021 1.4L MPI Top,TBD,1.4,4,95,170,N A,kia,ksa
Nissan GT-R 2021 Track Edition,TBD,3.8,6,600,350,4 Seater,nissan,ksa
Toyota Rush 2021 1.5L GX,"SAR 76,820",1.5,4,103,175,7 Seater,toyota,ksa
Kia Pegas 2021 1.4L MPI,TBD,1.4,4,95,170,N A,kia,ksa
Nissan GT-R 2021 Nismo,TBD,3.8,6,600,350,4 Seater,nissan,ksa
Hyundai Santa Fe 2021 3.5L Mid (AWD),"SAR 131,890",3.5,6,363,7 Seater,7.8,hyundai,ksa
Changan CS95 2021 2.0T Classic (7-Seater) FWD,"SAR 105,685",2.0,4,233,185,7 Seater,changan,ksa
Great Wall Wingle 7 2021 2.0T Double Cabin (4x4),"SAR 72,419",2.0,4,315,5 Seater,15,great-wall,ksa
Hyundai Santa Fe 2021 3.5L High (AWD),"SAR 142,890",3.5,6,363,7 Seater,7.8,hyundai,ksa
Changan CS95 2021 2.0T Royal (7-Seater) AWD,"SAR 126,385",2.0,4,233,190,7 Seater,changan,ksa
Great Wall Wingle 5 2021 2.2L Single Cabin Standard,"SAR 49,419",2.2,N/A,105,140,2 Seater,great-wall,ksa
Hyundai Santa Fe 2021 2.4L GL Panorama (FWD),"SAR 105,000",2.4,4,226,7 Seater,10.7,hyundai,ksa
Hyundai Santa Fe 2021 3.5L Base (AWD),"SAR 121,990",3.5,6,363,7 Seater,7.8,hyundai,ksa
Great Wall Wingle 7 2021 2.0T Single Cabin (RWD),"SAR 64,369",2.0,4,315,5 Seater,15,great-wall,ksa
Hyundai Santa Fe 2021 3.5L Limited (AWD),"SAR 162,250",3.5,6,363,7 Seater,7.8,hyundai,ksa
Kia K900 2021 5.0L GDI V8,"SAR 308,501",5.0,8,505,5 Seater,5.6,kia,ksa
Kia Cerato 2021 1.6L LX,"SAR 63,250",1.6,4,128,190,5 Seater,kia,ksa
Kia K900 2021 3.8L GDI V6,"SAR 214,599",3.8,6,400,5 Seater,5.6,kia,ksa
Mercedes-Benz G-Class 2021 G63,"SAR 691,994",4.0,8,585,220,5 Seater,mercedes-benz,ksa
BMW X5 2021 40i xDrive,"SAR 427,350",3.0,6,340,243,5 Seater,bmw,ksa
Mercedes-Benz G-Class 2021 G500,"SAR 502,785",4.0,8,422,250,5 Seater,mercedes-benz,ksa
Rolls Royce Cullinan 2021 6.75L Twin-Turbo (563 HP),"SAR 1,423,500",6.7,12,850,5 Seater,6.7,rolls-royce,ksa
Audi A7 Sportback 2021 55 TFSI quattro (340 HP),"SAR 416,900",3.0,6,340,250,5 Seater,audi,ksa
BMW 8 Series Coupe 2021 M850i xDrive,"SAR 599,500",4.4,8,523,250,4 Seater,bmw,ksa
BMW X5 2021 50i xDrive,"SAR 521,840",4.4,6,462,243,5 Seater,bmw,ksa
Audi Q8 2021 55 TFSI quattro (340 HP),"SAR 352,000",3.0,6,340,250,5 Seater,audi,ksa
Infiniti QX50 2021 2.0T Autograph (AWD),"SAR 256,943",2.0,4,268,230,5 Seater,infiniti,ksa
Mercedes-Benz AMG GT 4-Door Coupe 2021 63 S 4MATIC+,"SAR 880,000",4.0,8,639,310,4 Seater,mercedes-benz,ksa
Kia Cerato 2021 1.6L SX,"SAR 68,200",1.6,4,128,190,5 Seater,kia,ksa
RAM 1500 2021 5.7L Big Horn (Regular Cab),Walnut Brown/Billet Silver,5.7,8,395,175,5 Seater,ram,ksa
Chrysler Pacifica 2021 3.6L V6 Touring L,Fathom Blue Pearlcoat,3.6,6,355,8 Seater,11,chrysler,ksa
Porsche Macan 2021 S,Sapphire Blue Metallic,3.0,6,354,254,5 Seater,porsche,ksa
RAM 1500 2021 5.7L Laramie (Double Cab),Billet Silver/Walnut Brown,5.7,8,395,175,5 Seater,ram,ksa
Suzuki Swift Sport 2021 1.4L (140 HP),TBD,1.4,4,140,180,4 Seater,suzuki,ksa
Suzuki Swift 2021 1.2L GL,"SAR 66,344",1.2,4,82,165,5 Seater,suzuki,ksa
BMW 6 Series Gran Turismo 2021 630i,"SAR 364,100",2.0,4,258,250,5 Seater,bmw,ksa
Porsche Macan 2021 Turbo S,Sapphire Blue Metallic,3.0,6,440,270,5 Seater,porsche,ksa
Chrysler Pacifica 2021 3.6L V6 Touring L Plus,Fathom Blue Pearlcoat,3.6,6,355,8 Seater,11,chrysler,ksa
GMC Sierra Denali 2021 6.2L Crew Cab (AWD),"SAR 275,600",6.2,8,420,180,5 Seater,gmc,ksa
Porsche Macan 2021 Base,Sapphire Blue Metallic,2.0,4,252,227,5 Seater,porsche,ksa
Suzuki Swift 2021 1.2L GLX,"SAR 69,460",1.2,4,82,165,5 Seater,suzuki,ksa
RAM 1500 2021 5.7L Rebel (Double Cab),"SAR 252,300",5.7,8,395,175,5 Seater,ram,ksa
Borgward BX7 2021 2.0T AWD Ultimate (7-Seater),"SAR 141,240",2.0,4,224,206,7 Seater,borgward,ksa
Audi S3 Sedan 2021 2.0 TFSI quattro (290 HP),"SAR 215,050",2.0,4,290,250,5 Seater,audi,ksa
Kia Rio Hatchback 2021 1.4L MPI,"SAR 54,890",1.4,4,100,180,5 Seater,kia,ksa
Mini Clubman 2021 Cooper S ALL4,"SAR 192,500",2.0,4,192,228,5 Seater,mini,ksa
Chevrolet Bolt EV 2021 LT FWD,TBD,0.0,"N/A, Electric",500,360,Automatic,chevrolet,ksa
Kia Rio Hatchback 2021 1.6L MPI,"SAR 62,590",1.6,4,123,190,5 Seater,kia,ksa
Ford F-150 2021 3.5L EcoBoost Crew Cab Lariat (Luxury+Chrome Pack),"Guard, Stone Gray",3.5,N/A,365,160,5 Seater,ford,ksa
Borgward BX7 2021 2.0T Elite FWD (7-Seater),"SAR 133,282",2.0,4,224,206,7 Seater,borgward,ksa
Infiniti Q60 Coupe 2021 3.0T Premium,TBD,3.0,6,400,250,4 Seater,infiniti,ksa
Peugeot 508 2021 1.6T GT Line,"SAR 130,000",1.6,4,165,220,5 Seater,peugeot,ksa
Suzuki Ciaz 2021 1.5L GL,"SAR 54,280",1.5,4,103,165,5 Seater,suzuki,ksa
Mini Clubman 2021 Cooper,"SAR 160,600",1.5,N/A,136,205,5 Seater,mini,ksa
Jeep Renegade 2021 2.4L Longitude 4x2,TBD,2.4,4,184,175,5 Seater,jeep,ksa
Ford F-150 2021 3.5L EcoBoost Crew Cab Lariat Special Edition,Smoked Quartz Metallic Tinted Clearcoat,3.5,N/A,365,160,6 Seater,ford,ksa
Ford F-150 2021 3.3L V6 Crew Cab XL,Smoked Quartz Metallic Tinted Clearcoat,3.3,N/A,292,160,6 Seater,ford,ksa
Porsche Panamera Sport Turismo 2021 4 E-Hybrid,"SAR 574,420",2.9,6,462,275,5 Seater,porsche,ksa
Porsche Panamera Sport Turismo 2021 Turbo S E-Hybrid,"SAR 995,060",4.0,8,680,310,5 Seater,porsche,ksa
Porsche Panamera Sport Turismo 2021 Turbo,"SAR 847,110",4.0,8,550,304,5 Seater,porsche,ksa
Porsche Panamera Sport Turismo 2021 GTS,"SAR 697,180",4.0,8,460,289,5 Seater,porsche,ksa
Mercedes-Benz GLC Coupe 2021 AMG 43 4MATIC,"SAR 340,524",3.0,N/A,367,250,5 Seater,mercedes-benz,ksa
Mercedes-Benz GLC Coupe 2021 250 4MATIC,"SAR 266,866",2.0,4,211,222,5 Seater,mercedes-benz,ksa
Alfa Romeo Giulia 2021 Super,"SAR 175,925",2.0,4,330,5 Seater,6.5,alfa-romeo,ksa
Suzuki Ciaz 2021 1.5L GLX,"SAR 64,285",1.5,4,104,165,5 Seater,suzuki,ksa
Mercedes-Benz GLC Coupe 2021 300 4MATIC,"SAR 295,749",2.0,4,245,236,5 Seater,mercedes-benz,ksa
Chery Arrizo 3 2021 1.5L Comfort,"SAR 42,100",1.5,4,107,175,5 Seater,chery,ksa
Toyota Hiace 2021 3.5L GL STD Roof Panel Van (3-Seater),"SAR 108,905",3.5,4,277,160,3 Seater,toyota,ksa
Porsche Panamera Sport Turismo 2021 4S,"SAR 609,290",2.9,6,440,286,5 Seater,porsche,ksa
Audi RS Q3 2021 2.5L TFSI quattro Sportback,TBD,2.5,5,400,280,5 Seater,audi,ksa
Lincoln Continental 2021 3.7L Premier,DISCONTINUED,3.7,6,379,5 Seater,6.8,lincoln,ksa
McLaren 720S 2021 4.0T Coupe,"SAR 1,346,050",4.0,8,770,2 Seater,2.9,mclaren,ksa
Mercedes-Benz C Class Cabriolet 2021 C 300 Cabriolet,"SAR 273,015",2.0,N/A,258,250,4 Seater,mercedes-benz,ksa
Mercedes-Benz S Class Cabriolet 2021 S 560,"SAR 660,745",4.0,8,465,250,4 Seater,mercedes-benz,ksa
Lincoln Continental 2021 3.0T Reserve,DISCONTINUED,3.0,6,400,250,5 Seater,lincoln,ksa
McLaren 570S Spider 2021 3.8T,DISCONTINUED,3.8,8,600,2 Seater,3.2,mclaren,ksa
Land Rover Range Rover Velar 2021 2.0L R-Dynamic SE (250 PS),"SAR 286,465",2.0,4,250,217,5 Seater,land-rover,ksa
Mercedes-Benz S Class Cabriolet 2021 S63 4MATIC+,"SAR 825,235",4.0,8,612,250,4 Seater,mercedes-benz,ksa
Alfa Romeo Stelvio 2021 Quadrifoglio,"SAR 440,000",2.9,6,510,283,5 Seater,alfa-romeo,ksa
Land Rover Range Rover Velar 2021 2.0L S (250 PS),"SAR 272,895",2.0,4,250,217,5 Seater,land-rover,ksa
McLaren 570 GT 2021 3.8T Coupe,DISCONTINUED,3.8,8,562,328,2 Seater,mclaren,ksa
Mercedes-Benz C Class Cabriolet 2021 C AMG 53 4MATIC+ Cabriolet,"SAR 348,739",3.0,6,435,250,4 Seater,mercedes-benz,ksa
Alfa Romeo Stelvio 2021 Super,"SAR 208,180",2.0,4,280,230,5 Seater,alfa-romeo,ksa
Mercedes-Benz AMG GT Roadster 2021 4.0L V8 (476 HP),"SAR 597,370",4.0,8,476,302,2 Seater,mercedes-benz,ksa
Mercedes-Benz C Class Cabriolet 2021 C 200 Cabriolet,"SAR 253,413",2.0,N/A,204,235,4 Seater,mercedes-benz,ksa
Skoda Kodiaq 2021 2.0 TSI Style (AWD),"SAR 139,755",2.0,4,180,207,7 Seater,skoda,ksa
Lamborghini Aventador S Roadster 2021 6.5L V12 (740 HP),"SAR 2,035,000",6.5,12,740,350,2 Seater,lamborghini,ksa
Borgward BX5 2021 1.4T Comfort,"SAR 87,706",1.4,4,147,180,5 Seater,borgward,ksa
GAC GA8 2021 2.0T GL,"SAR 107,720",2.0,4,198,200,4 Seater,gac,ksa
Genesis G70 2021 2.0T Premium,"SAR 258,675",2.0,4,252,240,5 Seater,genesis,ksa
Borgward BX5 2021 1.4T Elite,"SAR 107,337",1.4,4,147,180,5 Seater,borgward,ksa
Borgward BX5 2021 1.4T Fashion,"SAR 92,684",1.4,4,147,180,5 Seater,borgward,ksa
Kia Stinger 2021 2.0T (255 PS),"SAR 145,420",2.0,4,251,240,5 Seater,kia,ksa
Lamborghini Aventador S 2021 6.5L V12 Coupe,"SAR 1,912,656",6.5,N/A,740,350,2 Seater,lamborghini,ksa
Mercedes-Benz AMG GT Roadster 2021 4.0L V8 (558 HP) C,"SAR 738,502",4.0,8,558,316,2 Seater,mercedes-benz,ksa
Lamborghini Urus 2021 4.0T V8,"SAR 1,078,000",4.0,8,650,305,4 Seater,lamborghini,ksa
Kia Stinger 2021 3.3T AWD Full Option (370 PS),"SAR 187,000",3.3,6,365,270,5 Seater,kia,ksa
Genesis G80 2021 3.5T Platinum (AWD),Tasman Blue,3.5,6,380,250,5 Seater,genesis,ksa
Lexus UX 200 2021 Elegant,"SAR 172,615",2.0,4,169,180,4 Seater,lexus,ksa
BMW X2 2021 sDrive20i,"SAR 214,500",2.0,4,189,180,5 Seater,bmw,ksa
RAM Rebel TRX Concept 2021 6.2L V8 (702 HP),TBD,6.2,8,702,190,4 Seater,ram,ksa
Mercedes-Benz EQC 2021 400 4MATIC,TBD,0.0,"N/A, Electric",402,180,5 Seater,mercedes-benz,ksa
Lincoln Nautilus 2021 2.0T (250 Hp),"SAR 179,285",2.0,6,250,230,5 Seater,lincoln,ksa
Mercedes-Benz A-class Sedan 2021 200,"SAR 164,779",0.0,4,163,230,5 Seater,mercedes-benz,ksa
Jaguar I-Pace 2021 EV400 HSE (AWD),TBD,0.0,"N/A, Electric",Double,Automatic,200,jaguar,ksa
Lincoln Nautilus 2021 2.7T V6 Reserve (335 Hp),Follow,2.7,6,335,250,5 Seater,lincoln,ksa
Lexus UX 200 2021 Excellence,"SAR 210,910",2.0,4,169,180,4 Seater,lexus,ksa
Maxus T60 2021 2.8D Double Cab (4x4),"SAR 74,800",2.8,4,350,5 Seater,11.0,maxus,ksa
BMW 8 Series Convertible 2021 M 850i xDrive,"SAR 610,500",4.4,8,523,250,4 Seater,bmw,ksa
Jaguar I-Pace 2021 EV400 S (AWD),TBD,0.0,"N/A, Electric",Double,Automatic,200,jaguar,ksa
Jaguar I-Pace 2021 EV400 SE (AWD),TBD,0.0,"N/A, Electric",Double,Automatic,200,jaguar,ksa
Cadillac CTS-V Sedan 2021 6.2L Supercharged W/ Carbon fiber package (640HP),DISCONTINUED,0.0,8,854,N A,3.7,cadillac,ksa
BMW M2 Competition 2021 3.0T,"SAR 416,900",3.0,6,410,280,4 Seater,bmw,ksa
Cadillac CTS-V Sedan 2021 6.2L Supercharged (640HP),DISCONTINUED,0.0,8,854,N A,3.7,cadillac,ksa
BMW X7 2021 XDrive50i,"SAR 562,100",4.4,8,462,245,N A,bmw,ksa
BMW X7 2021 XDrive40i,"SAR 473,000",3.0,6,340,245,N A,bmw,ksa
Hyundai Veloster N 2021 2.0L T-GDI (sport),TBD,2.0,4,275,5 Seater,5.2,hyundai,ksa
BMW 8 Series Gran Coupe 2021 840i,"SAR 498,300",3.0,8,340,250,4 Seater,bmw,ksa
Maxus D90 2021 2.0T Executive Luxury (4WD),TBD,2.0,4,225,175,7 Seater,maxus,ksa
Ferrari SF90 Stradale 2021 4.0T V8 Plug-in-Hybrid,"SAR 2,090,000",4.0,8,25,800,Automatic,ferrari,ksa
Mazda CX-30 2021 2.0L Classic 4x2,"SAR 89,824",2.0,4,155,192,5 Seater,mazda,ksa
McLaren 600LT 2021 3.8T V8 Coupe,DISCONTINUED,0.0,8,592,328,N A,mclaren,ksa
BMW 8 Series Gran Coupe 2021 M850i xDrive,"SAR 610,500",4.4,8,530,250,4 Seater,bmw,ksa
Mitsubishi Spacestar 2021 1.2L GLS HL,"SAR 40,453",1.2,3,78,173,N A,mitsubishi,ksa
Bestune X40 2021 1.6L,"SAR 56,982",1.6,4,112,168,5 Seater,bestune,ksa
McLaren Senna 2021 4.0T V8 Coupe,"SAR 5,586,665",4.0,8,800,335,2 Seater,mclaren,ksa
Mitsubishi Spacestar 2021 1.2L GLS LL,"SAR 37,400",1.2,3,78,173,N A,mitsubishi,ksa
Maxus D90 2021 2.0T Elite (2WD),"SAR 84,000",2.0,4,225,185,7 Seater,maxus,ksa
Ferrari 812 GTS 2021 6.5L V12,"SAR 1,450,000",6.5,12,718,N A,3.0,ferrari,ksa
Audi RS Q8 2021 4.0 TFSI V8 Quattro,Following,4.0,8,600,250,5 Seater,audi,ksa
Jetour X70 2021 1.5T Comfort,"SAR 79,990",1.5,4,156,180,7 Seater,jetour,ksa
MG 6 2021 1.5T LUX,"SAR 80,675",1.5,4,169,180,5 Seater,mg,ksa
Bestune T77 2021 1.2T Premium,"SAR 81,133",0.0,4,148,181,5 Seater,bestune,ksa
Jetour X70 2021 1.5T Luxury,"SAR 90,000",1.5,4,156,180,7 Seater,jetour,ksa
MG 6 2021 1.5T STD,"SAR 67,450",1.5,4,169,180,5 Seater,mg,ksa
Hongqi L5 2021 6.0 V12,TBD,6.0,12,402,190,7 Seater,hongqi,ksa
MG 6 2021 1.5T COM,"SAR 71,935",1.5,4,169,180,5 Seater,mg,ksa
Hongqi HS5 2021 2.0T Deluxe,"SAR 146,400",2.0,4,224,210,5 Seater,hongqi,ksa
Hongqi E-HS3 2021 EV 153 hp (FWD),TBD,0.0,"N/A, Electric",Single,Automatic,160,hongqi,ksa
Jetour X90 2021 1.6T Luxury,"SAR 98,900",1.6,4,194,185,7 Seater,jetour,ksa
Hongqi HS5 2021 2.0T Premium (AWD),"SAR 163,900",2.0,4,224,210,5 Seater,hongqi,ksa
Hongqi HS5 2021 2.0T Comfort,"SAR 128,400",2.0,4,224,210,5 Seater,hongqi,ksa
Hongqi E-HS3 2021 EV 305 hp (AWD),TBD,0.0,"N/A, Electric",Double,Automatic,160,hongqi,ksa
Ferrari F8 Tributo 2021 3.9T V8,"SAR 1,100,000",3.9,8,710,340,2 Seater,ferrari,ksa
Audi e-tron Sportback 2021 50 (71 kWh) Quattro,Following,0.0,"N/A, Electric",Double,Automatic,190,audi,ksa
Audi SQ8 2021 4.0 TFSI quattro (500 HP),"SAR 320,000",4.0,8,500,250,5 Seater,audi,ksa
Audi e-tron Sportback 2021 55 (95 kWh) Quattro,Following,0.0,"N/A, Electric",Double,Automatic,200,audi,ksa
Toyota C HR 2021 1.8L Dynamic Hybrid,"SAR 101,660",1.8,4,121,170,5 Seater,toyota,ksa
Lincoln Crosair 2021 2.0T Reserve,"SAR 195,385",2.0,4,245,5 Seater,7.3,lincoln,ksa
Lincoln Crosair 2021 2.0T Base,"SAR 188,485",2.0,4,245,5 Seater,7.3,lincoln,ksa
Toyota Supra 2021 2.0T GR,"SAR 201,710",2.0,4,255,250,2 Seater,toyota,ksa
McLaren 765LT 2021 4.0T V8,"SAR 1,685,300",4.0,8,755,330,2 Seater,mclaren,ksa
Great Wall Wingle 7 2021 2.0T Double Cabin (4x4) (Leather),"SAR 74,719",2.0,4,315,5 Seater,15,great-wall,ksa
Great Wall Wingle 7 2021 2.4T Double Cabin (4x4) (Petrol),"SAR 67,819",2.4,4,220,5 Seater,15,great-wall,ksa
Great Wall Wingle 7 2021 2.4T Single Cabin (RWD) (Petrol),"SAR 58,619",2.4,4,147,180,5 Seater,great-wall,ksa
Hyundai Ioniq 5 2022 EV 72.6 kWh,TBD,0.0,"N/A, Electric",Single,Automatic,185,hyundai,ksa
Ferrari Roma 2021 3.9T V8,Following,3.9,8,620,320,4 Seater,ferrari,ksa
Great Wall Wingle 7 2021 2.4T Double Cabin (4x4) (Petrol) (Leather),"SAR 70,118",2.4,4,220,5 Seater,15,great-wall,ksa
Hyundai Ioniq 5 2022 EV 58 kWh,TBD,0.0,"N/A, Electric",Single,185,5 Seater,hyundai,ksa
Ferrari F8 Spider 2021 3.9T V8,"SAR 1,200,000",3.9,8,710,340,2 Seater,ferrari,ksa
Volkswagen Golf GTI 2021 2.0T P1 Full option,"SAR 141,383",2.0,4,245,210,5 Seater,volkswagen,ksa
Peugeot 2008 2021 1.6L (115HP) Active+,"SAR 69,000",1.6,4,115,200,5 Seater,peugeot,ksa
Toyota Corolla Cross 2021 1.8L XL (HEV),"SAR 83,605",1.8,4,Double,CVT,5 Seater,toyota,ksa
Toyota Corolla Cross 2021 1.8L GLI (HEV),"SAR 89,470",1.8,4,Double,CVT,5 Seater,toyota,ksa
Volkswagen Golf GTI 2021 2.0T P2 Full option,"SAR 162,341",2.0,4,245,210,5 Seater,volkswagen,ksa
Peugeot 2008 2021 1.6L (115HP) Allure+,"SAR 75,000",1.6,4,115,200,5 Seater,peugeot,ksa
Peugeot 2008 2021 1.2T (155HP) GT,"SAR 91,000",1.2,3,155,208,5 Seater,peugeot,ksa
